设备ID,有功功率,无功功率
1,0.4954,0.4612
2,0.0008625,0.0005
3,0.607882857,0.541311429
4,0.4637875,0.42320625
5,0.6426525,0.5697325
6,0.610551429,0.544185714
7,0.406408,0.356768
8,0.48892,0.43473
9,0.37996,0.34432
10,0.4173125,0.37540625
11,0.6270875,0.58325
12,0.4276225,0.38825
13,0.000383333,0.000193333
14,0.496333333,0.440333333
15,0.38289375,0.35041875
16,0.6451625,0.5546375
17,0.42770625,0.3643375
18,0.4354875,0.391325
19,0.0002,0.000166667
20,0.42844,0.3899
21,0.000248,0.000216
22,0.49714,0.46903
23,0.37988,0.35196
24,0.00080625,0.00065625
1,0.495766667,0.426233333
2,0.00025625,0.000175
3,0.578448571,0.514577143
4,0.46573125,0.41169375
5,0.5503975,0.4957525
6,0.628157143,0.568145714
7,0.421704,0.4006
8,0.43031,0.4007
9,0.45078,0.42512
10,0.43303125,0.3974875
11,0.5779625,0.4917125
12,0.457085,0.4059425
13,3.33333E-05,1.33333E-05
14,0.411666667,0.366233333
15,0.39179375,0.35860625
16,0.56725625,0.526675
17,0.41923125,0.39563125
18,0.42295,0.3748125
19,0.000433333,0.0003
20,0.40902,0.37904
21,0.000552,0.00048
22,0.46076,0.40381
23,0.44484,0.39934
24,0.00084375,0.00065625
1,0.393933333,0.338133333
2,0.00061875,0.00043125
3,0.663637143,0.592365714
4,0.45531875,0.41175
5,0.58659,0.5296925
6,0.730611429,0.63808
7,0.491352,0.45164
8,0.372,0.31928
9,0.4656,0.43496
10,0.456375,0.39355
11,0.577475,0.4926125
12,0.4515,0.4148575
13,0.00059,0.000376667
14,0.472633333,0.4308
15,0.44511875,0.40898125
16,0.552775,0.479825
17,0.39645,0.373425
18,0.49975,0.4305
19,0.000866667,0.000766667
20,0.41772,0.37806
21,0.000208,0.00016
22,0.44367,0.37752
23,0.4244,0.36936
24,0.0007125,0.0006125
1,0.513,0.471133333
2,0.0009625,0.00059375
3,0.67892,0.610834286
4,0.44660625,0.396325
5,0.718545,0.6620925
6,0.539251429,0.49864
7,0.398832,0.358896
8,0.39551,0.33771
9,0.50008,0.44682
10,0.4627,0.40539375
11,0.69415,0.62905
12,0.3922725,0.3361175
13,0.000266667,0.000163333
14,0.512466667,0.4399
15,0.46105625,0.4260625
16,0.60824375,0.5453625
17,0.40074375,0.37245
18,0.420275,0.371175
19,0.000833333,0.000666667
20,0.3834,0.34644
21,0.00076,0.000504
22,0.37571,0.33858
23,0.44908,0.3836
24,0.00066875,0.0005375
1,0.5103,0.468933333
2,0.0002625,0.00015
3,0.55904,0.481331429
4,0.44994375,0.38673125
5,0.67884,0.622055
6,0.683577143,0.6086
7,0.393592,0.357104
8,0.49375,0.4381
9,0.45716,0.39602
10,0.39898125,0.37010625
11,0.741275,0.6464375
12,0.48414,0.4345625
13,0.000606667,0.00042
14,0.406666667,0.364466667
15,0.44160625,0.3891375
16,0.56240625,0.52845
17,0.435075,0.38656875
18,0.4685625,0.442575
19,0.000533333,0.000466667
20,0.48844,0.45364
21,0.00088,0.000528
22,0.41485,0.36436
23,0.42092,0.37366
24,0.000775,0.0006875
1,0.3889,0.346533333
2,0.00045625,0.00039375
3,0.6403,0.571105714
4,0.41858125,0.39145625
5,0.6277175,0.55984
6,0.722528571,0.6296
7,0.371648,0.350568
8,0.39976,0.34934
9,0.4849,0.41264
10,0.42071875,0.38693125
11,0.56915,0.518375
12,0.4654025,0.427415
13,0.000983333,0.000383333
14,0.5129,0.466133333
15,0.48654375,0.415975
16,0.6615625,0.57553125
17,0.40331875,0.36690625
18,0.4702,0.4367875
19,0.0001,0.0001
20,0.40578,0.36214
21,0.000056,0.00004
22,0.41949,0.36177
23,0.44616,0.42378
24,0.00005,0.0000375
1,0.389033333,0.360633333
2,0.0007125,0.000675
3,0.673431429,0.616942857
4,0.442325,0.4134625
5,0.5977275,0.54249
6,0.541331429,0.49158
7,0.430176,0.379048
8,0.48047,0.44332
9,0.49316,0.4214
10,0.4241,0.38826875
11,0.725275,0.64275
12,0.44244,0.38506
13,4.33333E-05,1.33333E-05
14,0.446866667,0.4025
15,0.42885625,0.37616875
16,0.568875,0.50464375
17,0.3915875,0.365775
18,0.4528125,0.4023875
19,0.000333333,0.000266667
20,0.39364,0.37046
21,0.000856,0.000488
22,0.48076,0.44531
23,0.49636,0.46102
24,0.00050625,0.00046875
1,0.4257,0.3966
2,0.0002125,0.00016875
3,0.634051429,0.58292
4,0.38288125,0.33283125
5,0.734975,0.627945
6,0.53846,0.48728
7,0.382592,0.362464
8,0.43673,0.39072
9,0.44674,0.39176
10,0.37230625,0.3439
11,0.636675,0.5462875
12,0.4072625,0.380735
13,0.000556667,0.00029
14,0.392633333,0.3705
15,0.3908125,0.347
16,0.74738125,0.6609625
17,0.454,0.41795
18,0.4887875,0.431375
19,0.000633333,0.000466667
20,0.50258,0.45128
21,0.00096,0.000616
22,0.44902,0.40969
23,0.39052,0.33578
24,0.00096875,0.00065625
1,0.4423,0.407133333
2,0.00066875,0.0004375
3,0.644568571,0.567177143
4,0.4668,0.44056875
5,0.570425,0.4987925
6,0.672077143,0.594705714
7,0.499112,0.47304
8,0.50091,0.43049
9,0.4422,0.40228
10,0.40595625,0.37303125
11,0.5706,0.4945875
12,0.39669,0.368385
13,0.000253333,0.00018
14,0.4503,0.427166667
15,0.428475,0.36889375
16,0.67345625,0.584775
17,0.39091875,0.34043125
18,0.4384125,0.3861
19,0.0005,0.000366667
20,0.43542,0.38144
21,0.000656,0.000464
22,0.44542,0.38666
23,0.50562,0.47608
24,0.00054375,0.00050625
1,0.499666667,0.430833333
2,0.00033125,0.0002625
3,0.639577143,0.603785714
4,0.4612375,0.39484375
5,0.6667025,0.612985
6,0.543485714,0.492268571
7,0.496896,0.467496
8,0.41676,0.36292
9,0.42872,0.39974
10,0.4831375,0.411875
11,0.6036,0.5178125
12,0.403625,0.3441225
13,0.000176667,9.33333E-05
14,0.447933333,0.402666667
15,0.44928125,0.38936875
16,0.69569375,0.59870625
17,0.434225,0.40379375
18,0.37765,0.3264625
19,0.0007,0.0004
20,0.44774,0.39908
21,0.000824,0.000696
22,0.40437,0.35098
23,0.38916,0.35494
24,0.00095,0.00056875
1,0.510866667,0.4494
2,0.00051875,0.00034375
3,0.662582857,0.595614286
4,0.4824875,0.44691875
5,0.5755725,0.5121675
6,0.717648571,0.663711429
7,0.478816,0.449928
8,0.45197,0.40197
9,0.50258,0.44934
10,0.4777,0.43901875
11,0.616225,0.5562
12,0.4289425,0.406165
13,0.000463333,0.00018
14,0.408933333,0.3644
15,0.39059375,0.33374375
16,0.55655,0.47635
17,0.492125,0.4369125
18,0.447825,0.3911125
19,0.0003,0.000233333
20,0.5047,0.47706
21,0.0008,0.00052
22,0.37555,0.32102
23,0.38014,0.33114
24,0.00005625,0.00004375
1,0.3973,0.3735
2,0.00051875,0.0004125
3,0.580202857,0.523065714
4,0.3824375,0.33824375
5,0.563645,0.523165
6,0.586522857,0.548871429
7,0.406632,0.35808
8,0.38136,0.35899
9,0.3878,0.35964
10,0.45379375,0.41561875
11,0.6773125,0.6325375
12,0.49031,0.44287
13,0.000616667,0.000456667
14,0.469333333,0.423966667
15,0.41969375,0.3747625
16,0.69785625,0.59946875
17,0.4809625,0.44935
18,0.4630125,0.4149625
19,0,0
20,0.42656,0.38536
21,0,0
22,0.47374,0.42326
23,0.47582,0.42514
24,0.00051875,0.0004
1,0.409333333,0.348433333
2,0.00025625,0.0002375
3,0.64916,0.558934286
4,0.42844375,0.3738125
5,0.584185,0.5511925
6,0.644597143,0.561231429
7,0.434392,0.39588
8,0.3763,0.34645
9,0.4429,0.40654
10,0.34830625,0.29654375
11,0.65535,0.6083375
12,0.3698925,0.321335
13,0.000373333,0.00021
14,0.374766667,0.345833333
15,0.34236875,0.324475
16,0.5347,0.49476875
17,0.44261875,0.37923125
18,0.450475,0.3971875
19,0.000833333,0.0005
20,0.42434,0.3633
21,0.000896,0.000656
22,0.38882,0.3586
23,0.35104,0.31992
24,6.875E-05,0.0000625
1,0.438666667,0.384566667
2,0.00005,0.0000375
3,0.534965714,0.47758
4,0.34951875,0.3256125
5,0.6038125,0.5290375
6,0.558062857,0.497622857
7,0.409488,0.366592
8,0.4433,0.42061
9,0.43326,0.40244
10,0.387475,0.33096875
11,0.6878,0.5949125
12,0.4089775,0.348985
13,0.000416667,0.000256667
14,0.378133333,0.3222
15,0.43493125,0.4027625
16,0.555275,0.48705
17,0.3841875,0.34105625
18,0.42305,0.3868
19,0.000966667,0.0009
20,0.4233,0.37664
21,0.000632,0.000552
22,0.41337,0.35551
23,0.43778,0.41176
24,0.000425,0.0002375
1,0.373833333,0.352966667
2,0.0009625,0.00090625
3,0.581628571,0.52996
4,0.3725875,0.3420875
5,0.6440725,0.5548425
6,0.615037143,0.570394286
7,0.362528,0.329352
8,0.43509,0.40993
9,0.416,0.38198
10,0.3638625,0.32549375
11,0.5623,0.5294125
12,0.420115,0.3681875
13,0.00094,0.000573333
14,0.3781,0.3298
15,0.40906875,0.36128125
16,0.6071,0.57331875
17,0.38298125,0.3634
18,0.4035625,0.3534375
19,0.000266667,0.000233333
20,0.38234,0.3283
21,0.00004,0.000024
22,0.37111,0.34994
23,0.45866,0.4316
24,0.00095,0.00065625
1,0.436033333,0.381066667
2,0,0
3,0.626325714,0.577268571
4,0.36545,0.3362
5,0.50173,0.46428
6,0.507525714,0.433537143
7,0.338504,0.306072
8,0.37723,0.34493
9,0.34928,0.3214
10,0.3886875,0.35263125
11,0.552725,0.4928125
12,0.4254375,0.38663
13,0.000176667,8.33333E-05
14,0.465466667,0.402666667
15,0.35811875,0.3304625
16,0.60626875,0.557125
17,0.36926875,0.3323
18,0.3808625,0.3332875
19,0.000633333,0.000566667
20,0.43898,0.40208
21,0.000576,0.00032
22,0.38889,0.33107
23,0.35466,0.31734
24,0.00055,0.00051875
1,0.442533333,0.405633333
2,0.00024375,0.0002
3,0.640151429,0.60528
4,0.40305625,0.3628125
5,0.5273475,0.4930925
6,0.65354,0.565742857
7,0.426056,0.389784
8,0.42723,0.40225
9,0.4352,0.38006
10,0.44761875,0.38150625
11,0.5165625,0.4427875
12,0.3887825,0.35561
13,0.000126667,5.66667E-05
14,0.376133333,0.329066667
15,0.36590625,0.31803125
16,0.5815125,0.5254125
17,0.414175,0.38864375
18,0.4358375,0.370925
19,6.66667E-05,3.33333E-05
20,0.4325,0.3871
21,0.000824,0.00068
22,0.35036,0.33126
23,0.4151,0.37844
24,0.00068125,0.0005125
1,0.3698,0.3457
2,0.00064375,0.0005
3,0.651908571,0.615288571
4,0.44981875,0.41618125
5,0.6353425,0.59837
6,0.592025714,0.512937143
7,0.341576,0.299296
8,0.37103,0.32379
9,0.39092,0.3537
10,0.3388625,0.314575
11,0.63995,0.6059625
12,0.335295,0.300585
13,0.000673333,0.00026
14,0.405333333,0.369233333
15,0.4389375,0.3892625
16,0.66733125,0.6139375
17,0.3579625,0.32039375
18,0.357425,0.3173125
19,0.000866667,0.0005
20,0.36006,0.3101
21,0.000552,0.000328
22,0.37208,0.35044
23,0.35446,0.3361
24,0.0008375,0.00061875
1,0.4253,0.368766667
2,0.00023125,0.00021875
3,0.662805714,0.590422857
4,0.36214375,0.31520625
5,0.65914,0.6046725
6,0.682788571,0.614671429
7,0.416888,0.385856
8,0.37785,0.32297
9,0.42702,0.383
10,0.4424625,0.38170625
11,0.5427,0.5151125
12,0.437475,0.388225
13,0.00069,0.00047
14,0.410833333,0.372333333
15,0.351675,0.32879375
16,0.59699375,0.51335625
17,0.389575,0.3674
18,0.4353875,0.381825
19,0.0001,6.66667E-05
20,0.36954,0.32986
21,0.000472,0.000368
22,0.34305,0.31737
23,0.45696,0.41546
24,0.00074375,0.00069375
1,0.4621,0.426466667
2,0.000475,0.00040625
3,0.676771429,0.576331429
4,0.42308125,0.37738125
5,0.6782725,0.6209575
6,0.662688571,0.6236
7,0.363384,0.318952
8,0.44717,0.40996
9,0.38512,0.34318
10,0.44325625,0.39365625
11,0.6274625,0.5494875
12,0.3538775,0.302455
13,6.66667E-05,4.33333E-05
14,0.366233333,0.328533333
15,0.33705625,0.31996875
16,0.6316875,0.5835875
17,0.35126875,0.30974375
18,0.4498,0.3874625
19,0.0006,0.000533333
20,0.3646,0.32544
21,0.000464,0.00032
22,0.39524,0.34885
23,0.34756,0.30664
24,0.0003625,0.00028125
1,0.442333333,0.377933333
2,0.00053125,0.00035625
3,0.630294286,0.594042857
4,0.4008375,0.371875
5,0.5129975,0.46565
6,0.569942857,0.527108571
7,0.416616,0.368376
8,0.35238,0.31284
9,0.43404,0.38904
10,0.3761875,0.35573125
11,0.521725,0.4449625
12,0.3780125,0.3249675
13,0.000723333,0.000486667
14,0.435266667,0.3798
15,0.3586625,0.3282625
16,0.61975,0.54720625
17,0.3395625,0.29408125
18,0.4183125,0.3949375
19,0.0007,0.0006
20,0.3499,0.30446
21,0.00028,0.000224
22,0.41755,0.39068
23,0.42758,0.36394
24,0.0000375,0.0000375
1,0.400233333,0.3407
2,0.00061875,0.000375
3,0.530337143,0.488662857
4,0.41191875,0.38975
5,0.5677025,0.5121725
6,0.589982857,0.50196
7,0.433744,0.38844
8,0.408,0.38068
9,0.39554,0.34462
10,0.34655,0.3089625
11,0.6297625,0.5757625
12,0.3775925,0.3265125
13,3.33333E-06,3.33333E-06
14,0.426033333,0.388366667
15,0.35008125,0.309425
16,0.616575,0.532175
17,0.4070625,0.3638625
18,0.4458,0.3941625
19,0.000766667,0.000433333
20,0.39638,0.3486
21,0.001,0.000584
22,0.43706,0.39919
23,0.4189,0.37766
24,0.00080625,0.0004625
1,0.4013,0.343833333
2,0.0001625,0.00009375
3,0.518845714,0.49206
4,0.3620625,0.326625
5,0.494865,0.4274975
6,0.493448571,0.465105714
7,0.435056,0.385632
8,0.38772,0.33938
9,0.38858,0.3476
10,0.3809625,0.34616875
11,0.585125,0.5000125
12,0.3735325,0.3388725
13,0.00089,0.000546667
14,0.414333333,0.375133333
15,0.40243125,0.36021875
16,0.54273125,0.48275625
17,0.39003125,0.3624125
18,0.448675,0.3897375
19,0.001,0.0006
20,0.41878,0.38894
21,0.000504,0.000304
22,0.44407,0.39593
23,0.43722,0.38052
24,0.0005625,0.00035
1,0.458066667,0.402566667
2,0.0009125,0.00074375
3,0.57364,0.504437143
4,0.4461125,0.4235
5,0.5636475,0.5154325
6,0.620177143,0.579834286
7,0.381944,0.3256
8,0.354,0.33533
9,0.392,0.33976
10,0.38063125,0.334475
11,0.5826375,0.5005375
12,0.3436275,0.3122225
13,0.00044,0.000273333
14,0.3665,0.340533333
15,0.395325,0.3486
16,0.6563125,0.6001125
17,0.34191875,0.3084
18,0.3885125,0.3313875
19,0.0008,0.000666667
20,0.3459,0.31284
21,0.000992,0.00056
22,0.38488,0.33151
23,0.39862,0.34046
24,0.00030625,0.0002
1,0.3925,0.352933333
2,0.0000375,0.0000375
3,0.518245714,0.480808571
4,0.4102625,0.3844
5,0.58525,0.5431225
6,0.598411429,0.521108571
7,0.432208,0.39704
8,0.44872,0.40666
9,0.49824,0.46548
10,0.41230625,0.37766875
11,0.55825,0.4878125
12,0.3686425,0.340055
13,0.00008,3.66667E-05
14,0.4617,0.393133333
15,0.3868125,0.339625
16,0.48448125,0.445825
17,0.38055625,0.3368
18,0.439175,0.382225
19,0.000833333,0.000533333
20,0.45112,0.39324
21,0.000584,0.00048
22,0.4332,0.40175
23,0.41112,0.38636
24,0.00078125,0.00060625
1,0.4603,0.397633333
2,6.875E-05,0.0000375
3,0.481237143,0.436688571
4,0.39216875,0.370675
5,0.49507,0.465115
6,0.63534,0.591245714
7,0.453744,0.393416
8,0.44472,0.41694
9,0.42836,0.3765
10,0.40796875,0.3531875
11,0.6497125,0.5558875
12,0.3693625,0.33724
13,0.000653333,0.000443333
14,0.497433333,0.459833333
15,0.4905,0.4481125
16,0.53533125,0.50114375
17,0.4541,0.39310625
18,0.453775,0.3942625
19,0.000333333,0.0003
20,0.49956,0.4714
21,0.000552,0.00048
22,0.48111,0.45214
23,0.38936,0.36956
24,0.0002375,0.0001875
1,0.428733333,0.405
2,0.00001875,0.00001875
3,0.651591429,0.60096
4,0.40376875,0.3632875
5,0.550925,0.480555
6,0.513714286,0.466671429
7,0.377032,0.34204
8,0.4911,0.46548
9,0.48942,0.42878
10,0.4620875,0.40798125
11,0.57145,0.5371125
12,0.44762,0.4205825
13,0.000306667,0.00013
14,0.480933333,0.418366667
15,0.4640375,0.4050875
16,0.5425875,0.5118625
17,0.46154375,0.423775
18,0.459175,0.4321625
19,0.000766667,0.0007
